true_label,freshapples,freshbanana,freshbittergroud,freshcapsicum,freshcucumber,freshokra,freshoranges,freshpatato,freshpotato,freshtamto,freshtomato,rottenapples,rottenbanana,rottenbittergroud,rottencapsicum,rottencucumber,rottenokra,rottenoranges,rottenpatato,rottenpotato,rottentamto,rottentomato
freshapples,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
freshbanana,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshcucumber,0,0,0,0,276,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
freshokra,0,0,0,0,3,358,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
freshoranges,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
freshpatato,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,12,0,0
freshpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshtamto,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
freshtomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottenapples,5,0,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0
rottenbanana,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0
rottenbittergroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencapsicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottencucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1,0,0,0,0,0
rottenokra,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,211,0,0,2,0,1
rottenoranges,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,398,0,0,0,0
rottenpatato,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,360,0,0
rottenpotato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rottentamto,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,348
rottentomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
